"ID","X","Y","ANGLE","HEAD","FAST_BREAK","PREDICTED_GOAL","XG","FOOTBALL_PITCH_CELL"
4934,91,-11,4.5402006792031534628644195434240486524,"Y","Y","N",0.048133853529399709,"X90|Y-12"
4933,91,-11,4.5402006792031534628644195434240486524,"N","Y","N",0.09323107772342519,"X90|Y-12"
4928,91,-13,4.51447632301691152863251649123442211768,"Y","N","N",0.014676785107285338,"X90|Y-14"
4927,91,-13,4.51447632301691152863251649123442211768,"N","N","N",0.029395696806025644,"X90|Y-14"
4930,91,-13,4.51447632301691152863251649123442211768,"Y","Y","N",0.048062435094309991,"X90|Y-14"
4929,91,-13,4.51447632301691152863251649123442211768,"N","Y","N",0.093099290994474421,"X90|Y-14"
4924,91,-15,4.4848298350991051048107397032778962015,"Y","N","N",0.014650810473117358,"X90|Y-16"
4923,91,-15,4.4848298350991051048107397032778962015,"N","N","N",0.029344448768143013,"X90|Y-16"
4926,91,-15,4.4848298350991051048107397032778962015,"Y","Y","N",0.04798025245813916,"X90|Y-16"
4925,91,-15,4.4848298350991051048107397032778962015,"N","Y","N",0.092947618411811733,"X90|Y-16"
4866,91,-17,4.45142041723456355530971518073524231708,"Y","N","N",0.014621593235266598,"X90|Y-18"
4865,91,-17,4.45142041723456355530971518073524231708,"N","N","N",0.029286799824209148,"X90|Y-18"
4922,91,-17,4.45142041723456355530971518073524231708,"Y","Y","N",0.047887798581888512,"X90|Y-18"
4867,91,-17,4.45142041723456355530971518073524231708,"N","Y","N",0.092776960352719512,"X90|Y-18"
4862,91,-19,4.41442369054010485262753560490793050649,"Y","N","N",0.014589305795572004,"X90|Y-20"
4861,91,-19,4.41442369054010485262753560490793050649,"N","N","N",0.02922308903333113,"X90|Y-20"
4864,91,-19,4.41442369054010485262753560490793050649,"Y","Y","N",0.047785614969953746,"X90|Y-20"
4863,91,-19,4.41442369054010485262753560490793050649,"N","Y","N",0.092588306295222633,"X90|Y-20"
4858,91,-21,4.37402949558787747866713081228355970546,"Y","N","N",0.014554133559782339,"X90|Y-22"
4857,91,-21,4.37402949558787747866713081228355970546,"N","N","N",0.029153681088364154,"X90|Y-22"
4860,91,-21,4.37402949558787747866713081228355970546,"Y","Y","N",0.047674284185860123,"X90|Y-22"
4859,91,-21,4.37402949558787747866713081228355970546,"N","Y","N",0.092382721272939644,"X90|Y-22"
4855,91,-23,4.33043960090665506429385923482399181631,"N","Y","N",0.0921613318818712,"X90|Y-24"
4854,91,-23,4.33043960090665506429385923482399181631,"Y","N","N",0.014516272462936691,"X90|Y-24"
4853,91,-23,4.33043960090665506429385923482399181631,"N","N","N",0.029078961462544833,"X90|Y-24"
4856,91,-23,4.33043960090665506429385923482399181631,"Y","Y","N",0.047554422128286956,"X90|Y-24"
4850,91,-25,4.28386536792278727024819865976851310607,"Y","N","N",0.014475926476341341,"X90|Y-26"
4795,91,-25,4.28386536792278727024819865976851310607,"N","N","N",0.028999331518180876,"X90|Y-26"
4852,91,-25,4.28386536792278727024819865976851310607,"Y","Y","N",0.047426670242973687,"X90|Y-26"
4851,91,-25,4.28386536792278727024819865976851310607,"N","Y","N",0.09192531215471425,"X90|Y-26"
4792,91,-27,4.234525418273498825760803839768892368,"Y","N","N",0.014433305149054594,"X90|Y-28"
4791,91,-27,4.234525418273498825760803839768892368,"N","N","N",0.028915203680985383,"X90|Y-28"
4794,91,-27,4.234525418273498825760803839768892368,"Y","Y","N",0.04729168783498771,"X90|Y-28"
4793,91,-27,4.234525418273498825760803839768892368,"N","Y","N",0.091675869599007906,"X90|Y-28"
4788,91,-29,4.18264334602367750231625983056678166488,"Y","N","N",0.014388621231589953,"X90|Y-30"
4787,91,-29,4.18264334602367750231625983056678166488,"N","N","N",0.028826996773547608,"X90|Y-30"
4790,91,-29,4.18264334602367750231625983056678166488,"Y","Y","N",0.047150144629977644,"X90|Y-30"
4789,91,-29,4.18264334602367750231625983056678166488,"N","Y","N",0.091414231667611229,"X90|Y-30"
4784,91,-31,4.12844551288852746109446272713179942793,"Y","N","N",0.014342088423190699,"X90|Y-32"
4783,91,-31,4.12844551288852746109446272713179942793,"N","N","N",0.028735131589070064,"X90|Y-32"
4786,91,-31,4.12844551288852746109446272713179942793,"Y","Y","N",0.047002713713574749,"X90|Y-32"
4785,91,-31,4.12844551288852746109446272713179942793,"N","Y","N",0.091141632895686844,"X90|Y-32"
4780,91,-33,4.0721589593766468832576336367052169561,"Y","N","N",0.014293919276909116,"X90|Y-34"
4779,91,-33,4.0721589593766468832576336367052169561,"N","N","N",0.028640026772636416,"X90|Y-34"
4782,91,-33,4.0721589593766468832576336367052169561,"Y","Y","N",0.046850064956240042,"X90|Y-34"
4781,91,-33,4.0721589593766468832576336367052169561,"N","Y","N",0.09085930289962274,"X90|Y-34"
5504,93,-9,4.46569090334351203801554244880363304863,"Y","N","N",0.014634066045772569,"X92|Y-10"
5503,93,-9,4.46569090334351203801554244880363304863,"N","N","N",0.029311410521913082,"X92|Y-10"
5506,93,-9,4.46569090334351203801554244880363304863,"Y","Y","N",0.047927268577861851,"X92|Y-10"
5505,93,-9,4.46569090334351203801554244880363304863,"N","Y","N",0.092849820729546229,"X92|Y-10"
