"ID","MATCH_ID","EVENT_ID","TYPE_ID","PERIOD_ID","TIME_MIN","TIME_SEC","TEAM_ID","X","Y","PLAYER_ID","PLAYER_NAME","PENALTY","HEAD","RIGHT_FOOTED","OTHER_BODY_PART","REGULAR_PLAY","FAST_BREAK","SET_PIECE","FROM_CORNER","FREE_KICK","OWN_GOAL","ASSISTED","LEFT_FOOTED","TARGETED_LOW_LEFT","TARGETED_HIGH_LEFT","TARGETED_LOW_CENTER","TARGETED_HIGH_CENTER","TARGETED_LOW_RIGHT","TARGETED_HIGH_RIGHT","BLOCKED","TARGETED_CLOSE_LEFT","TARGETED_CLOSE_RIGHT","TARGETED_CLOSE_HIGH","TARGETED_CLOSE_LEFT_AND_HIGH","TARGETED_CLOSE_RIGHT_AND_HIGH","PROJECTED_GOAL_MOUTH_Y","PROJECTED_GOAL_MOUTH_Z","DEFLECTION","HIT_WOODWORK","BIG_CHANCE","INDIVIDUAL_CHANCE","HIT_RIGHT_POST","HIT_LEFT_POST","HIT_BAR","OUT_ON_SIDELINE","KICKOFF","FIRST_TOUCH","NOT_ASSISTED","EVENT_TYPE_NAME","TEAM_NAME","IS_GOAL","GOAL_CNT","RESULT","TEAM_SIDE","X_REL_PC","Y_REL_PC","X_REL_M","Y_REL_M","X_REL_M_TEAM","Y_REL_M_TEAM","DISTANCE","DISTANCE_BUCKET","EVENT_COUNT","FOOTBALL_PITCH_CELL","MATCH_DATE"
1210515570,"9rcvvbyf7sfl4fltydjgh09re",197,15,1,21,0,"",75.6,54,"","anonymized","N","N","Y","N","Y","N","N","N","N","N","Y","N","N","N","N","N","N","N","Y","N","N","N","N","N","N","N","N","N","N","Y","N","N","N","N","N","N","N","Shot","anonymized","N",0,"Attempt Saved","home",24.4,4,25.376,2.72,25.376,-2.72,25.52135921145266902298911204247040294426,26,1,"X24|Y2",01-JAN-18
1613950154,"9rcvvbyf7sfl4fltydjgh09re",198,15,1,21,1,"",75.6,59.7,"","anonymized","N","N","Y","N","Y","N","N","N","N","N","N","N","N","N","N","N","N","N","Y","N","N","N","N","N","N","N","N","N","N","Y","N","N","N","N","N","Y","N","Shot","anonymized","N",0,"Attempt Saved","home",24.4,9.7,25.376,6.596,25.376,-6.596,26.21924087383156865756577264363717680156,27,1,"X24|Y6",01-JAN-18
1269394085,"9rcvvbyf7sfl4fltydjgh09re",261,15,1,27,23,"",92.2,34.6,"","anonymized","N","N","Y","N","Y","N","N","N","N","N","Y","N","Y","N","N","N","N","N","N","N","N","N","N","N","54.4","5.7","N","N","N","N","N","N","N","N","N","Y","N","Shot","anonymized","N",0,"Attempt Saved","home",7.8,-15.4,8.112,-10.472,8.112,10.472,13.2464081169198467361774391664811255249,14,1,"X8|Y-12",01-JAN-18
1217349025,"9rcvvbyf7sfl4fltydjgh09re",275,15,1,30,2,"",75.9,49.9,"","anonymized","N","N","Y","N","Y","N","N","N","N","N","Y","N","N","N","N","N","Y","N","N","N","N","N","N","N","48.1","8.9","N","N","N","Y","N","N","N","N","N","N","N","Shot","anonymized","N",0,"Attempt Saved","away",24.1,-0.1,25.064,-0.068,78.936,-0.068,25.06409224368598592394929495696046126531,26,1,"X24|Y-2",01-JAN-18
1469321436,"9rcvvbyf7sfl4fltydjgh09re",301,16,1,32,11,"",91.3,46,"","anonymized","N","Y","N","N","N","N","N","Y","N","N","Y","N","Y","N","N","N","N","N","N","N","N","N","N","N","53.9","19.0","N","Y","N","N","N","N","Y","N","N","Y","N","Shot","anonymized","Y",1,"Goal","away",8.7,-4,9.048,-2.72,94.952,-2.72,9.448,10,1,"X8|Y-4",01-JAN-18
1829193373,"9rcvvbyf7sfl4fltydjgh09re",339,15,1,36,45,"",73.8,38.2,"","anonymized","N","N","N","N","N","N","N","N","Y","N","Y","Y","N","N","N","N","Y","N","N","N","N","N","N","N","46.8","12.0","N","N","N","N","N","N","N","N","N","Y","N","Shot","anonymized","N",0,"Attempt Saved","away",26.2,-11.8,27.248,-8.024,76.752,-8.024,28.40489535273805581002612372555673202758,29,1,"X26|Y-10",01-JAN-18
1955908263,"9rcvvbyf7sfl4fltydjgh09re",376,15,1,41,39,"",89.5,48,"","anonymized","N","N","N","N","Y","N","N","N","N","N","Y","Y","N","N","Y","N","N","N","N","N","N","N","N","N","50.0","3.8","Y","N","N","Y","N","N","N","N","N","N","N","Shot","anonymized","N",0,"Attempt Saved","away",10.5,-2,10.92,-1.36,93.08,-1.36,11.00436277119216022076754717929112187798,12,1,"X10|Y-2",01-JAN-18
1809221738,"9rcvvbyf7sfl4fltydjgh09re",379,15,1,42,26,"",92.9,47,"","anonymized","N","N","N","N","Y","N","N","N","N","N","Y","Y","N","N","Y","N","N","N","N","N","N","N","N","N","50.5","0.6","N","N","Y","N","N","N","N","N","N","Y","N","Shot","anonymized","N",0,"Attempt Saved","home",7.1,-3,7.384,-2.04,7.384,2.04,7.6606172075101102782944332218986422389,8,1,"X6|Y-4",01-JAN-18
1994527893,"9rcvvbyf7sfl4fltydjgh09re",406,15,1,45,12,"",77.8,70.7,"","anonymized","N","N","Y","N","Y","N","N","N","N","N","N","N","N","N","N","N","N","N","Y","N","N","N","N","N","N","N","N","N","N","Y","N","N","N","N","N","N","N","Shot","anonymized","N",0,"Attempt Saved","away",22.2,20.7,23.088,14.076,80.912,14.076,27.04051626726087491399248335733059423859,28,1,"X22|Y14",01-JAN-18
1228682065,"9rcvvbyf7sfl4fltydjgh09re",412,13,1,45,43,"",87.2,51.1,"","anonymized","N","N","Y","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","Y","N","N","N","42.5","16.7","N","N","N","N","N","N","N","N","N","Y","N","Shot","anonymized","N",0,"Miss","away",12.8,1.1,13.312,0.748,90.688,0.748,13.33299846246147288589505886855114249009,14,1,"X12|Y0",01-JAN-18
